LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', 'forward')], waypoint = forward action = right
******LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', 'forward')], waypoint = right action = right******
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', 'left'), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 90, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 91, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 91, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', 'forward'), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 91, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 91, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = None action = forward
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 91, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 92, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 92, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 92, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 92, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 92, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 92, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 92, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 93, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 93, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 93, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 93, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 93, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 93, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 93, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 93, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 93, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 93, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 93, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = None action = left
LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = left
LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 94, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 94, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 94, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 94, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = left
LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 94, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 94, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
******LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', 'left'), ('right', None), ('left', None)], waypoint = forward action = forward***********
******LearningAgent.update(): iteration = 94, inputs = [('light', 'red'), ('oncoming', 'left'), ('right', None), ('left', None)], waypoint = left action = forward***********
LearningAgent.update(): iteration = 94, inputs = [('light', 'green'), ('oncoming', 'left'), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = None action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = None action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = None action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', 'forward'), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = None action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = None action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = left action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = left
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = forward action = forward
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = left
LearningAgent.update(): iteration = 95, inputs = [('light', 'red'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
LearningAgent.update(): iteration = 95, inputs = [('light', 'green'), ('oncoming', None), ('right', None), ('left', None)], waypoint = right action = right
